S. NO,STREAM,NAME,PLACE,EXAM,FEES,SPECIALISATION,RANK / CUTOFF,LINK
,,,,,,,,
1,ENGINEERING,DELHI TECHNOLOGICAL UNIVERSITY ,DELHI,JEE MAINS,"1-1,63,948",6.8L,ALL ENGG COURSES,www.dtu.ac.in
2,ENGINEERING,INDIAN INSTITUTE OF TECHNOLOGY,DELHI,JEE ADVANCED,"1-6,278",10L,ALL ENGG COURSES,home.iitd.ac.in
3,ENGINEERING,INDRAPRASTA INSTITUTE OF INSTITUTE TECHNOLOGY,DELHI,JEE MAINS,"1-13,373",14L,ALL ENGG COURSES,www.iiitd.ac.in
4,ENGINEERING,NSUT,DELHI,JEE MAINS,"1-71,570",8.44L,ALL ENGG COURSES,www.nsit.ac.in
5,ENGINEERING,NIT,DELHI,JEE MAINS,"1-12,311",7L,ALL ENGG COURSES,https://nitdelhi.ac.in
6,ENGINEERING,JADAVPUR UNIVERSITY,KOLKATA,WBJEE,"1-1,529","10,000",ALL ENGG COURSES,www.jaduni.edu.in
7,ENGINEERING,NARULA INSTITUTE OF TECHNOLOGY,KOLKATA,JEE MAINS OR WBJEE,"1-79,806",5.2L,ALL ENGG COURSES,www.nit.ac.in
8,ENGINEERING,UNIVERSITY OF CALCUTTA,KOLKATA,WBJEE,"1-1,894","40,000",ALL ENGG COURSES,www.caluniv.ac.in
9,ENGINEERING,FUTURE INSTITUTE OF ENGINEERING,KOLKATA,WBJEE,"1-19,688",4.5L,ALL ENGG COURSES,https://futureeducation.in
10,ENGINEERING,GURU NANAK INSTITUTE OF TECHNOLOGY,KOLKATA,JEE MAINS OR WBJEE,"1-21,543",5.2L,ALL ENGG COURSES,https://gnit.ac.in
11,ARTS,JAMIA MILLIA ISLAMIA UNIVERSITY,DELHI,BOARDS,50%,"52,000",BBA,www.jmi.ac.in
12,ARTS,Delhi University,DELHI,BOARDS,50%,"85,000",BA,www.du.ac.in
13,ARTS,ECOLE INTUIT LAB,DELHI,BOARDS,50%,"5,00,000/YR",DIPLOMA,https://ecole-intuit-lab.co.in
14,ARTS,IGNOU,DELHI,BOARDS,50%,"1,08,000",BBA,http://rckkokatta.ignou.ac.in
15,ARTS,AAFT,DELHI,BOARDS,50%,"6,54,000","BA-THEATRE,DRAMA",https://aaft.com
16,ARTS,ASUTOSH COLLEGE,KOLKATA,50% IN BOARDS,50%,"35,000",BSc.General,www.asutoshcollege.in
17,ARTS,RABINDRA BHARATI UNIVERSITY,KOLKATA,BOARDS,50%,"6,000",BA,https://rbu.ac.in
18,ARTS,BETHUNE COLLEGE,KOLKATA,BOARDS,50%,"5,000",BSc.General,www.bethunecollege.ac.in
19,ARTS,LORETO COLLEGE,KOLKATA,BOARDS,50%,"90,000",BA,www.loretocollege.in
20,ARTS,PRESIDENCY UNIVERSITY,KOLKATA,BOARDS,50%,"10,000",BA,www.presiuniv.ac.in
21,medical,AIIMS,DELHI,AIIMS MBBS,"1-23,466","7,000",MEDICINE COURSES,www.aiims.edu
22,medical,MAULANA AZAD,DELHI,NEET,53-90,"16,000",MEDICINE COURSES,www.mamc.ac.in
23,medical,VMMC,DELHI,NEET,90-163,2L,MEDICINE COURSES,www.vmmc-sjh.nic.in
24,medical,UCMS,DELHI,NEET,"1-2,975","31,000",MEDICINE COURSES,https://ucms.ac.in
25,medical,NDMC MEDICAL COLLEGE,DELHI,NEET,"464-7,350","3,01,000",MEDICINE COURSES,www.northmcd.com
26,medical,IPGMER,KOLKATA,NEET,"1-66,434","47,000",MEDICINE COURSES,www.ipgmer.gov.in
27,medical,RG KAR MEDICAL COLLEGE,KOLKATA,NEET,"1-73,069","47,020",MEDICINE COURSES,www.rgkarmch.org
28,medical,NILRATAN SIRCAR,KOLKATA,NEET,"1-81,030","47,100",MEDICINE COURSES,www.nrsmc.edu.in
29,medical,CALCUTTA NATIONAL,KOLKATA,NEET,"1-68,541","47,000",MEDICINE COURSES,www.cnmckolkata.com
30,medical,NATIONAL INSTITUTE OF HOMEOPATHY,KOLKATA,NEET,138-720,"1,04,450",MEDICINE COURSES,www.nih.nic.in
31,COMMERCE,SHRI RAM COLLEGE OF COMMERCE,DELHI,BOARDS,98.62%,"89,000",BA ECONOMICS,www.srcc.edu
32,COMMERCE,ADITI MAHAVIDYALAYA,DELHI,BOARDS,50%,"16,000",B.COM HONS,https://aditi.du.ac.in
33,COMMERCE,ACHARYA NARENDRA DEV,DELHI,BOARDS,91.50%,"24,000",B.COM HONS,www.andcollege.du.ac.in
34,COMMERCE,HINDU COLLEGE,DELHI,BOARDS,97.75%,"53,000",BA ENGLISH,https://hinducollege.ac.in
35,COMMERCE,HRC,DELHI,BOARDS,98%,"63,000",BA HISTORY,www.hansrajcollege.ac.in
36,COMMERCE,SCOTTISH CHURCH COLLEGE,KOLKATA,BOARDS,50%,"1,30,000",BCOM ACCOUNTING,www.scottishchurch.ac.in
37,COMMERCE,PRAFULLA CHANDRA COLLEGE,KOLKATA,BOARDS,50%,"16,000",BCOM HONS,www.prafullachandracollege.ac.in
38,COMMERCE,CHITTARANJAN COLLEGE,KOLKATA,BOARDS,50%,"11,000",BCOM HONS,www.chittaranjancollege.com
39,COMMERCE,NIFT,KOLKATA,NIFT KOLKATA,1-1428,11.09L, BDES ACCESSORY DESIGN,https://nift.ac.in
40,COMMERCE,CHARUCHANDRA COLLEGE,KOLKATA,BOARDS,75%,"12,230",BCOM HONS,www.charuchandracollege.ac.in
41,ENGINEERING,IISC Bangalore - Indian institute of science,Bangalore,KVPY,1 - 500,1.5 lakhs,all eng courses,https://iisc.ac.in/
42,ENGINEERING,"IIIT Bangalore - International institute of information technology 
technology",Bangalore,JEE MAINS,"1 - 9,000",6.4 lakh,all eng courses,https://www.iiitb.ac.in/
43,ENGINEERING,Bangalore institute of technology,Bangalore,KCET,1 - 11661,2.35 lakhs,all eng courses,https://bit-bangalore.edu.in/
44,ENGINEERING,Dr Ambedkar institute of technology,Bangalore,JEE MAINS,1 - 26777,1.1 lakh,all eng courses,https://www.drait.edu.in/
45,ENGINEERING,University Visvesvaraya college of engineering,Bangalore,KCET,1 - 29057,98k,all eng courses,https://uvce.ac.in/
46,MEDICAL,Bangalore medical college and research institute ,Bangalore,NEET,353 - 1407,3.85 lakhs,MBBS,https://bmcribengaluru.karnataka.gov.in/english
47,MEDICAL,Kidwai memorial institute of oncology ,Bangalore,NEET,1 TO 9550,1.5 lakhs,oncology ,http://www.kmio.org/college/courses_c.html
48,MEDICAL,Government homeopathetic medical college,Bangalore,NEET,350/720,1.13 lakhs,BHMS,http://www.ghmcbengaluru.in/
49,MEDICAL,National institute of mental health and neuro sciences,Bangalore,NIMHANS,80/100,1.8 lakhs,MD Psychiatry ,https://nimhans.ac.in/
50,MEDICAL,Government dental college and research institute,Bangalore,NEET,147/720,2.68 lakhs,BDS,https://gdcrib.karnataka.gov.in/english
51,ARTS,Indian institute of management ,Bangalore,IIM CAT,85/198,5.75 lakhs,M Phil/ phd in arts,https://www.iimb.ac.in/home
52,ARTS,RV university school of design,Bangalore,KCET,"1- 2,700",3.75 lakhs,BA,https://rvu.edu.in/school-of-design/
53,ARTS,St Joseph's college,Bangalore,SJCET,1 - 41931,1.28 lakhs,BA,https://www.sjc.ac.in/
54,ARTS,Presidency university,Bangalore,KCET,1 - 27616,1.5 lakhs,BA,https://presidencyuniversity.in/
55,ARTS,National law school of india university ,Bangalore,CLAT,1 TO 80,2.8 lakhs,LLB,https://www.nls.ac.in/
56,COMMERCE,Mount carmel college,Bangalore,Board ,75%,65k,B.Com,https://mccblr.edu.in/
57,COMMERCE,Basaveshwara college,Bangalore,Board ,75%,45k,B.Com,http://www.basaveshwaracollege.org.in/
58,COMMERCE,Seshadripuram college,Bangalore,Board ,75%,40k,B.Com,https://www.spmcollege.ac.in/
59,COMMERCE,Sri venkateshwara first grade college,Bangalore,Board ,75%,70k,B.Com,https://sveinstitutions.com/
60,COMMERCE,Kristu jayanti college,Bangalore,Board ,75%,1.65 lakhs,B.Com,https://kristujayanti.edu.in/
61,ENGINEERING,IIT Bombay,Mumbai,JEE adv,"1 - 8,834",9 lakhs,all eng courses,https://www.iitb.ac.in/
62,ENGINEERING,Institute of chemical technology,Mumbai,JEE MAINS,"1 - 10,200",3.4 lakhs,chem engg,https://www.ictmumbai.edu.in/
63,ENGINEERING,Veermata Jijabai technological institute ,Mumbai,JEE MAINS,"1 - 8,597",3.2 lakhs,civil engg,https://vjti.ac.in/
64,ENGINEERING,National institute of industrial engineering ,Mumbai,GATE,609/1000,1.1 lakhs,industrial engg ,https://www.nitie.ac.in/
65,ENGINEERING,Usha mittal institute of technology ,Mumbai,JEE MAINS,"1 - 84,087",4.65 lakhs,comp.sci engg ,https://www.umit.ac.in/
66,MEDICAL,university of mumbai,Mumbai,NEET,"1 - 19,570",2.65 lakhs,mbbs,https://mu.ac.in/
67,MEDICAL,KJ Somaiya medical college,Mumbai,NEET,"1 - 23,997",7.5 lakhs,MBBS,https://kjsmc.somaiya.edu.in/
68,MEDICAL,Grant medical college ,Mumbai,NEET,"1 - 2,828",5.08 lakhs,MBBS,https://ggmcjjh.com/
69,MEDICAL,lokmanya tilak municipal medical college,Mumbai,NEET,"1 - 5,350",4.83 lakhs,MBBS,http://www.ltmgh.com/
